Date,Open,High,Low,Close,Adj Close,Volume
5/2/14,4.17,4.2,4.1,4.12,4.12,14479700
5/5/14,4.1,4.14,4.06,4.09,4.09,9015400
5/6/14,4.06,4.13,3.98,4.01,4.01,17929300
5/7/14,4.04,4.04,3.89,3.97,3.97,22374700
5/8/14,3.95,4.03,3.91,3.93,3.93,14550200
5/9/14,3.91,3.93,3.85,3.87,3.87,15982900
5/12/14,3.87,4,3.86,3.97,3.97,14785500
5/13/14,3.99,4.09,3.98,4.03,4.03,11224000
5/14/14,4.03,4.06,3.98,3.98,3.98,10349600
5/15/14,3.96,3.98,3.89,3.96,3.96,18000900
5/16/14,3.95,4.05,3.91,4.02,4.02,17166600
5/19/14,4,4.1,3.96,4.09,4.09,18171000
5/20/14,4.09,4.11,4,4.05,4.05,15647500
5/21/14,4.06,4.1,4.05,4.1,4.1,13369500
5/22/14,4.09,4.09,4.01,4.01,4.01,11903100
5/23/14,4.03,4.06,3.97,4.02,4.02,9831100
5/27/14,4.05,4.06,4.03,4.04,4.04,6922800
5/28/14,4.04,4.06,3.99,4,4,12293800
5/29/14,4.02,4.06,4.01,4.03,4.03,8876700
5/30/14,4.02,4.03,3.98,4,4,10030600
6/2/14,4.03,4.03,3.94,3.97,3.97,10859500
6/3/14,3.96,3.98,3.92,3.94,3.94,10858800
6/4/14,3.93,4.05,3.93,4.04,4.04,13286000
6/5/14,4.04,4.09,4.02,4.08,4.08,13723800
6/6/14,4.09,4.11,4.06,4.06,4.06,8466000
6/9/14,4.05,4.1,4.04,4.07,4.07,7597200
6/10/14,4.1,4.23,4.1,4.2,4.2,28322100
6/11/14,4.18,4.3,4.17,4.29,4.29,20596200
6/12/14,4.33,4.44,4.28,4.29,4.29,26709500
6/13/14,4.36,4.39,4.24,4.28,4.28,17734600
6/16/14,4.26,4.44,4.26,4.44,4.44,26192800
6/17/14,4.41,4.5,4.41,4.47,4.47,19445000
6/18/14,4.5,4.5,4.35,4.4,4.4,14702400
6/19/14,4.42,4.45,4.33,4.36,4.36,10880500
6/20/14,4.34,4.37,4.07,4.1,4.1,54721600
6/23/14,4.06,4.08,3.9,4.01,4.01,49634100
6/24/14,4.01,4.07,3.93,3.94,3.94,20402400
6/25/14,3.95,4,3.94,3.96,3.96,13844700
6/26/14,3.95,4.09,3.94,4.03,4.03,21640500
6/27/14,4.06,4.11,4.04,4.11,4.11,16034600
6/30/14,4.12,4.25,4.08,4.19,4.19,25850200
7/1/14,4.21,4.26,4.17,4.22,4.22,29412600
7/2/14,4.23,4.35,4.22,4.34,4.34,20486500
7/3/14,4.36,4.4,4.14,4.24,4.24,22521700
7/7/14,4.23,4.31,4.21,4.26,4.26,21165500
7/8/14,4.25,4.3,4.1,4.22,4.22,41685800
7/9/14,4.21,4.29,4.2,4.23,4.23,18462200
7/10/14,4.18,4.36,4.14,4.29,4.29,39245000
7/11/14,4.3,4.4,4.29,4.37,4.37,22425600
7/14/14,4.44,4.65,4.39,4.64,4.64,73046000
7/15/14,4.63,4.8,4.41,4.53,4.53,156113700
7/16/14,4.6,4.77,4.57,4.66,4.66,61848100
7/17/14,4.66,4.68,4.5,4.57,4.57,51309800
7/18/14,3.73,3.84,3.67,3.83,3.83,137577700
7/21/14,3.86,3.87,3.75,3.78,3.78,34219100
7/22/14,3.82,3.86,3.78,3.8,3.8,34004800
7/23/14,3.82,3.83,3.75,3.76,3.76,31748200
7/24/14,3.75,3.8,3.71,3.73,3.73,27967600
7/25/14,3.73,3.79,3.69,3.76,3.76,31793700
7/28/14,3.77,3.78,3.68,3.73,3.73,31443400
7/29/14,3.74,3.84,3.73,3.79,3.79,36157400
7/30/14,3.82,3.88,3.77,3.82,3.82,42981200
7/31/14,3.8,3.99,3.78,3.91,3.91,112162900
8/1/14,3.91,4.01,3.87,3.97,3.97,33710000
8/4/14,3.97,4.02,3.93,4,4,21493200
8/5/14,3.99,4.11,3.97,4.08,4.08,40330600
8/6/14,4.06,4.14,4.03,4.12,4.12,16271200
8/7/14,4.14,4.2,4.07,4.1,4.1,32712300
8/8/14,4.1,4.15,4.05,4.12,4.12,27166900
8/11/14,4.03,4.19,3.99,4.14,4.14,29560500
8/12/14,4.12,4.14,4.08,4.08,4.08,27369900
8/13/14,4.08,4.15,4.03,4.11,4.11,30396800
8/14/14,4.1,4.17,4.08,4.08,4.08,26148100
8/15/14,4.12,4.14,4.07,4.13,4.13,33349200
8/18/14,4.14,4.22,4.14,4.21,4.21,45381300
8/19/14,4.2,4.3,4.2,4.27,4.27,23222100
8/20/14,4.25,4.32,4.22,4.28,4.28,11986600
8/21/14,4.29,4.29,4.21,4.24,4.24,11939800
8/22/14,4.22,4.28,4.21,4.25,4.25,8364700
8/25/14,4.27,4.27,4.18,4.18,4.18,8998200
8/26/14,4.17,4.22,4.13,4.19,4.19,9183900
8/27/14,4.2,4.21,4.15,4.16,4.16,7304400
8/28/14,4.14,4.19,4.07,4.14,4.14,10331400
8/29/14,4.15,4.19,4.14,4.17,4.17,7347200
9/2/14,4.16,4.25,4.15,4.16,4.16,12603300
