Date,Open,High,Low,Close,Adj Close,Volume
5/2/14,128.699997,130.399994,128.610001,129.940002,112.836052,3762900
5/5/14,129,132.380005,128.949997,131.960007,114.590157,4026500
5/6/14,131.75,131.919998,130.699997,130.830002,113.608887,4032000
5/7/14,130.770004,131.100006,129.199997,130.350006,113.827202,2900600
5/8/14,130.169998,131.270004,130.169998,130.570007,114.019325,2988700
5/9/14,130.259995,131.330002,129.880005,131.100006,114.48214,2543800
5/12/14,131.820007,132.990005,131.639999,132.600006,115.791992,3288500
5/13/14,133.009995,133.830002,132.860001,133.449997,116.534233,3132200
5/14/14,133.800003,133.970001,132.690002,132.990005,116.132545,2883900
5/15/14,132.699997,132.860001,130.559998,131.210007,114.578186,3596800
5/16/14,131.309998,131.710007,130.029999,130.809998,114.228882,2963300
5/19/14,130.419998,132.070007,130.350006,131.350006,114.700417,2103100
5/20/14,130.940002,131.600006,129.070007,129.580002,113.154785,2995800
5/21/14,130.429993,131.429993,130.039993,130.960007,114.359886,2476100
5/22/14,131.660004,132.479996,131.270004,131.839996,115.128334,2370700
5/23/14,132,132.580002,131.929993,132.410004,115.626083,1956200
5/27/14,133.089996,134.210007,132.869995,134.169998,117.162987,3085500
5/28/14,134.169998,135.149994,134.169998,134.330002,117.302696,2609400
5/29/14,134.710007,135.199997,134.429993,135.139999,118.010033,2234100
5/30/14,134.669998,135.440002,134.039993,135.25,118.106064,2760300
6/2/14,135.5,136.029999,134.770004,135.899994,118.673676,2629900
6/3/14,135.800003,136.529999,135.619995,135.880005,118.656219,2468800
6/4/14,135.539993,135.550003,134.589996,135.330002,118.175926,2601900
6/5/14,135.649994,137.380005,135.649994,136.820007,119.477051,3489900
6/6/14,137.389999,138.25,137.119995,138.25,120.725792,2710900
6/9/14,138.25,138.389999,137.5,137.960007,120.47258,2585000
6/10/14,137.589996,137.75,136.289993,137.25,119.852592,2370200
6/11/14,135.25,135.529999,133.820007,134.100006,117.101883,5558000
6/12/14,133.860001,134.169998,131.639999,132.190002,115.433945,3826100
6/13/14,132.529999,132.949997,131.550003,132.289993,115.521263,2376600
6/16/14,132.199997,133.130005,131.649994,132.539993,115.739601,2163800
6/17/14,132.100006,133.050003,131.720001,132.449997,115.660995,2223200
6/18/14,132.610001,132.669998,131.029999,132.479996,115.687202,2859000
6/19/14,132.479996,132.929993,131.800003,132.820007,115.984116,2794900
6/20/14,133.479996,134.080002,132.089996,132.100006,115.355385,8083500
6/23/14,132.320007,132.529999,130.649994,130.850006,114.263817,4433000
6/24/14,130.5,131.240005,129,129.149994,112.779297,4319800
6/25/14,129.039993,129.139999,126.279999,127.059998,110.954208,7929700
6/26/14,127.410004,128.440002,126.360001,128.020004,111.792526,3929100
6/27/14,128.070007,128.779999,127.559998,128.539993,112.246628,3687900
6/30/14,127.910004,127.910004,126.199997,127.230003,111.102684,5712900
7/1/14,127.660004,128.330002,127.360001,128.149994,111.906044,3772500
7/2/14,128.149994,128.5,127.339996,127.620003,111.44326,2859000
7/3/14,127.989998,128.619995,127.699997,128.509995,112.220421,1997500
7/7/14,128.100006,129.5,127.769997,129.089996,112.726883,3157000
7/8/14,128.889999,128.970001,125.919998,126.790001,110.718445,5724300
7/9/14,128.309998,128.320007,125.910004,126.790001,110.718445,8023900
7/10/14,125.540001,127.629997,125.120003,126.790001,110.718445,3936900
7/11/14,127.18,128.240005,126.360001,128.089996,111.853661,3193100
7/14/14,128.910004,130.580002,128.759995,129.520004,113.102402,5267500
7/15/14,130.309998,130.309998,128.339996,129.100006,112.735649,4916100
7/16/14,129.559998,129.559998,127.139999,127.419998,111.268593,5260800
7/17/14,127.209999,128.179993,125.790001,125.879997,109.923798,5292900
7/18/14,126.379997,127.82,126.25,127.639999,111.460716,3103300
7/21/14,127.300003,128.419998,126.769997,128.300003,112.037033,2738700
7/22/14,128.990005,130.009995,128.580002,129.740005,113.294518,5102200
7/23/14,127.790001,128.399994,126.019997,126.709999,110.64859,12326300
7/24/14,125.919998,126.050003,124,124.400002,108.631386,10307200
7/25/14,124.480003,124.529999,122.410004,123.199997,107.583519,6121400
7/28/14,123.440002,124.559998,122.160004,123.059998,107.461235,4982400
7/29/14,123.309998,123.629997,122.199997,122.32,106.815056,4101900
7/30/14,123.199997,123.800003,121.760002,122.290001,106.788872,4042900
7/31/14,121.470001,122.050003,120.410004,120.480003,105.208267,5588800
8/1/14,120.449997,121.709999,119.639999,120.379997,105.120964,5852700
8/4/14,120.800003,121.190002,119.769997,119.93,104.727997,4671100
8/5/14,119.669998,121.980003,119.660004,121.269997,105.898148,6097900
8/6/14,119.32,119.360001,117.870003,118.339996,103.965378,6239700
8/7/14,119,120.220001,118.870003,119.839996,105.283188,4641800
8/8/14,119.800003,120.650002,119.279999,120.629997,105.977219,4348900
8/11/14,121.150002,121.760002,120.75,120.800003,106.126564,2807900
