datetime,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,2015year,month,day,price_normed,Amazon_normed,Boeing_normed,Microsoft_normed,Starbucks_normed,Walmart_normed,DJI_normed
2014-05-02,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,0,5,2,-0.03168557080919385,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,5,2.5,3650,9050,2.0,0,4,5,10,3370,280,0,5,2,0.257555068464294,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.0,1930,11947,1.0,0,0,4,8,1930,0,0,5,2,-0.027635363885518745,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.25,2000,8030,1.0,0,0,4,8,1000,1000,0,5,2,-0.016741703883909838,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,1940,10500,1.0,0,0,4,7,1140,800,0,5,2,0.0014143961187716794,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,2,1.0,880,6380,1.0,0,0,3,7,880,0,0,5,2,-0.006965342344004405,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,2,2.0,1350,2560,1.0,0,0,3,8,1350,0,0,5,2,-0.028613000039509288,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,2710,35868,2.0,0,0,3,9,2710,0,0,5,2,-0.008082640805707883,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,2430,88426,1.0,0,0,4,7,1570,860,0,5,2,-0.012202678883239457,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,0,5,2,0.013984003812935807,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,1710,7320,1.0,0,0,3,7,1710,0,0,5,2,-0.010736224652253644,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,0,5,2,0.1201273576747662,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,2330,14892,1.0,0,0,3,8,1970,360,0,5,2,0.006791394965719668,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.0,1090,6435,1.0,0,0,4,7,1090,0,0,5,2,-0.024423130808121248,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,0,5,2,0.09219489613217928,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.5,1200,9720,1.0,0,0,4,7,1200,0,0,5,2,-0.04153176350295575,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.5,1570,6700,1.0,0,0,4,7,1570,0,0,5,2,-0.016881366191622768,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,2200,9397,2.0,0,0,3,8,2200,0,0,5,2,-0.035596115425156026,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,3.0,3110,7231,2.0,0,0,3,8,3110,0,0,5,2,-0.024073975038838912,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,1370,5858,1.0,0,0,3,7,1370,0,0,5,2,-0.039373980848790915,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.5,1180,10277,1.0,0,0,3,6,1180,0,0,5,2,-0.03699273850228538,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,0,5,2,0.029346857661358625,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,1.0,1450,8800,1.0,0,0,4,7,1450,0,0,5,2,-0.014646769268215816,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,0,5,2,0.01202873150495472,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,0,5,2,0.0101432903508301,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,1.75,1600,6380,1.0,0,0,3,8,1130,470,0,5,2,-0.006267030805439731,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,2090,10834,1.0,0,0,4,8,1360,730,0,5,2,-0.035596115425156026,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,2360,7291,1.0,0,0,4,8,1360,1000,0,5,2,0.010492446120112438,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,0,5,2,0.022084417660286026,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,0,5,2,0.01887218458288852,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,0,5,2,0.034933349969876015,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,1.75,1560,8700,1.0,0,0,4,7,1560,0,0,5,2,-0.02197904042314489,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,0,5,2,-0.005575702382260704,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
