Date,Open,High,Low,Close,Adj Close,Volume
5/2/14,35.625,35.764999,35.285,35.299999,32.263088,8306400
5/5/14,35.25,35.529999,35.09,35.459999,32.409328,5486400
5/6/14,35.365002,35.415001,34.665001,34.790001,31.913965,10926800
5/7/14,34.889999,35,34.57,34.869999,31.987349,10959800
5/8/14,34.799999,35.25,34.669998,34.790001,31.913965,7531400
5/9/14,34.849998,35.154999,34.759998,35.145,32.239616,6623200
5/12/14,35.32,35.619999,35.200001,35.575001,32.634068,7227200
5/13/14,35.485001,35.669998,35.450001,35.580002,32.638657,5803000
5/14/14,35.59,35.599998,35.014999,35.084999,32.184574,8585000
5/15/14,35.130001,35.165001,34.639999,34.924999,32.037807,9124600
5/16/14,35,35.52,34.904999,35.470001,32.53775,9294800
5/19/14,35.279999,35.560001,35.139999,35.509998,32.574436,6745000
5/20/14,35.380001,35.450001,34.919998,35.115002,32.212105,8699800
5/21/14,35.355,35.375,35.035,35.200001,32.29007,6089200
5/22/14,35.174999,35.884998,35.150002,35.700001,32.748737,7359600
5/23/14,36.145,36.255001,35.915001,35.990002,33.014774,7166400
5/27/14,36.32,36.889999,36.27,36.830002,33.78532,10100400
5/28/14,36.650002,36.785,36.459999,36.634998,33.606438,8210000
5/29/14,36.759998,36.779999,36.325001,36.555,33.533058,6448000
5/30/14,36.580002,36.75,36.264999,36.619999,33.592682,6879200
6/2/14,36.610001,37.029999,36.580002,36.924999,33.872463,5926200
6/3/14,36.860001,37.174999,36.790001,37.09,34.023823,6764400
6/4/14,37.060001,37.349998,36.82,37.334999,34.248573,6495800
6/5/14,37.18,37.57,37.099998,37.360001,34.271507,5187400
6/6/14,37.529999,37.77,37.400002,37.665001,34.551296,6204800
6/9/14,37.689999,37.700001,37.325001,37.59,34.482494,5701000
6/10/14,37.625,37.720001,37.16,37.299999,34.216465,6641000
6/11/14,37.07,37.435001,36.924999,37.400002,34.308208,7510800
6/12/14,37.345001,37.349998,36.865002,36.98,33.922924,7193800
