Date,Open,High,Low,Close,Adj Close,Volume
5/2/14,79.599998,79.760002,79.010002,79.120003,69.197212,5620000
5/5/14,78.860001,78.949997,78.510002,78.620003,68.759933,4591000
5/6/14,78.330002,78.389999,77.970001,78.010002,68.226395,5638900
5/7/14,77.849998,78.099998,77.529999,77.959999,68.604828,6086200
5/8/14,78,78.830002,78,78.690002,69.247215,4820600
5/9/14,78.519997,79.279999,78.519997,79.199997,69.696022,4896400
5/12/14,78.949997,79.230003,78.650002,79.150002,69.652031,5999800
5/13/14,79.169998,79.370003,78.989998,79.139999,69.643219,4363700
5/14/14,79.050003,79.050003,78.07,78.739998,69.291245,5608300
5/15/14,76.279999,77.440002,76.25,76.830002,67.610413,13035800
5/16/14,77,77.379997,76.650002,77.010002,67.768814,7243800
5/19/14,77.110001,77.129997,76.5,76.610001,67.416832,6131300
5/20/14,76.360001,76.370003,75.519997,75.690002,66.607224,7436700
5/21/14,75.940002,75.959999,75.269997,75.660004,66.580833,5704100
5/22/14,75.790001,75.919998,75.239998,75.389999,66.343216,5243700
5/23/14,75.559998,75.75,75.43,75.610001,66.536812,3703600
5/27/14,75.709999,75.809998,75.290001,75.589996,66.519218,5370800
5/28/14,75.379997,75.940002,75.339996,75.529999,66.466408,5036900
5/29/14,75.669998,76.190002,75.57,75.980003,66.862427,4003500
5/30/14,76.059998,76.809998,76.010002,76.769997,67.557617,5964800
6/2/14,76.580002,77.110001,76.470001,76.760002,67.548828,4390400
6/3/14,76.739998,76.970001,76.360001,76.709999,67.504845,7213600
6/4/14,76.599998,77.300003,76.529999,77.129997,67.874428,6199900
6/5/14,77.050003,77.440002,76.870003,77.32,68.041634,4695800
6/6/14,77.459999,77.589996,77.07,77.209999,67.944824,4188900
6/9/14,77.07,77.760002,76.699997,77.010002,67.768814,5547600
6/10/14,76.809998,76.940002,76.510002,76.620003,67.425621,3365700
6/11/14,76.550003,76.739998,76.050003,76.160004,67.020813,4463300
6/12/14,76.050003,76.190002,75.580002,75.730003,66.642418,5336600
6/13/14,75.669998,75.760002,75.120003,75.279999,66.246414,4981500
6/16/14,75.110001,75.480003,75.019997,75.339996,66.299225,3846900
6/17/14,75.290001,75.419998,74.919998,74.989998,65.991219,6544200
6/18/14,75.040001,75.959999,74.919998,75.699997,66.61602,6740700
6/19/14,75.879997,76.279999,75.800003,75.870003,66.765625,5255300
6/20/14,76.160004,76.169998,75.120003,75.68,66.598412,11330700
6/23/14,75.559998,75.940002,75.300003,75.790001,66.695229,4267400
6/24/14,76.029999,76.209999,75.68,75.970001,66.853638,5652300
6/25/14,75.760002,75.839996,75.279999,75.620003,66.545624,4318200
6/26/14,75.519997,75.610001,74.699997,74.910004,65.92083,6922100
6/27/14,74.800003,75.379997,74.669998,75.339996,66.299225,13960800
6/30/14,75.400002,75.690002,74.940002,75.07,66.06163,6653800
7/1/14,75.269997,75.419998,74.75,75.279999,66.246414,6604500
7/2/14,75.260002,75.900002,75.25,75.620003,66.545624,4366800
7/3/14,75.610001,76.050003,75.519997,75.75,66.660011,2874000
7/7/14,75.690002,76.209999,75.550003,76.07,66.94162,5028000
7/8/14,76.089996,76.980003,76.029999,76.650002,67.452019,7960500
7/9/14,76.769997,77.330002,76.620003,77.209999,67.944824,6240100
7/10/14,76.910004,77.57,76.910004,77.059998,67.812828,5372500
7/11/14,76.870003,76.970001,76.559998,76.82,67.601616,4547500
7/14/14,77.129997,77.25,76.480003,76.550003,67.364029,4822900
7/15/14,76.559998,76.93,76.559998,76.839996,67.619217,4656900
7/16/14,76.900002,77.050003,76.699997,76.860001,67.63681,3724200
7/17/14,76.580002,77.050003,76.440002,76.610001,67.416832,4630300
7/18/14,76.620003,77.099998,76.510002,77.089996,67.839203,4913300
7/21/14,76.760002,76.910004,76.480003,76.769997,67.557617,3457600
